;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;"Alle Informationen der bis Dezember 2021 verwendeten Methoden und Imputationen finden sich auf der Hauptseite des (H)VPI unter ""Dokumentationen""/ ""weiterführende Dokumentationen"". ";;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
DIREKTION VOLKSWIRTSCHAFT - PREISSTATISTIK;;;;;;;;;;;;;;;;;;;
Verbraucherpreisindex - Basis 2020;;;;;https://www.statistik.at/statistiken/volkswirtschaft-und-oeffentliche-finanzen/preise-und-preisindizes/verbraucherpreisindex-vpi/hvpi;;;;;;;;;;;;;;
Indexstände, Veränderungsraten und Einfluss-Ergebnisse nach COICOP-Klassifikation;;;;;;;;;;;;;;;;;;;
sowie für ausgewählte Waren und Dienstleistungen;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
COICOP 1)-Aggregat;Warencode neu;Aggregats-ebene;Warencode alt;VPI-Positionen;Gewicht für 2022;Indexstand im…;;%-Veränderung gegenüber …;;Einfluss 4) auf Veränderung zu…;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;August 2);Juli 3);Juli;August;Juli;August;;;;;;;;
;;;;;;2022;2022;2022;2021;2022;2021;;;;;;;;
;;;;;;;;;;;;;;;;;;;
011220;003700;7;0008;Schweinsschnitzel;0,12035;112,8;110,7;1,9;12,9;0,002;0,016;;;;;;;;
011220;003800;7;0010;Schweinslungenbraten;0,11128;116,3;115,0;1,1;14,7;0,001;0,017;;;;;;;;
01124;;4;;Geflügelfleisch;0,42175;122,4;120,9;1,2;18,3;0,005;0,078;;;;;;;;
011240;004700;7;0026;Brathuhn;0,09321;123,9;122,2;1,4;16,0;0,001;0,015;;;;;;;;
011240;004800;7;0027;Putenbrustfleisch;0,11408;117,7;117,4;0,3;18,1;0,000;0,020;;;;;;;;
011240;004900;7;0035;Hühnerfleisch paniert, tiefgekühlt;0,04028;124,9;122,8;1,7;25,2;0,001;0,010;;;;;;;;
011240;005000;7;0037;Hühnerfilet;0,17418;124,6;122,5;1,7;18,3;0,003;0,032;;;;;;;;
01127;;4;;Fleisch, Fleischwaren, getrocknet, gesalzen, geräuchert;1,01090;114,9;115,1;-0,2;13,2;-0,002;0,135;;;;;;;;
011270;002700;7;0015;Selchfleisch;0,05303;115,7;114,6;1,0;16,3;0,001;0,009;;;;;;;;
011270;002800;7;0016;Speck;0,11342;114,8;115,0;-0,2;13,0;0,000;0,015;;;;;;;;
011270;004000;7;0012;Würstel;0,20648;110,7;109,9;0,7;11,1;0,001;0,023;;;;;;;;
011270;004100;7;0013;Dauerhartwurst;0,09684;113,5;114,0;-0,4;11,8;0,000;0,012;;;;;;;;
011270;004200;7;0018;Schinken vom Schwein;0,23092;113,9;112,6;1,2;13,3;0,003;0,031;;;;;;;;
011270;004300;7;0019;Truthahnextrawurst;0,06282;128,4;133,0;-3,5;19,4;-0,003;0,012;;;;;;;;
011270;004400;7;0021;Extrawurst;0,14407;118,1;120,7;-2,2;15,2;-0,003;0,022;;;;;;;;
011270;004600;7;0022;Salami;0,10332;113,5;114,3;-0,7;10,7;-0,001;0,012;;;;;;;;
01128;;4;;Andere Fleischzubereitungen;0,22917;122,6;120,7;1,6;19,1;0,004;0,047;;;;;;;;
011280;002600;7;0014;Faschiertes;0,14193;128,7;125,6;2,5;20,2;0,004;0,032;;;;;;;;
011280;002900;7;0030;Leberaufstrich;0,04537;114,4;115,3;-0,8;15,3;0,000;0,007;;;;;;;;
011280;003000;7;0031;Rindsgulaschkonserve;0,04187;121,4;120,2;1,0;19,6;0,000;0,008;;;;;;;;
0113;;3;;Fisch;0,34928;111,9;108,0;3,6;14,8;0,013;0,053;;;;;;;;
01131;;4;;Fische, frisch oder gekühlt;0,09695;104,3;101,5;2,8;9,0;0,003;0,009;;;;;;;;
011310;005400;7;0046;Frischer Fisch;0,09695;104,3;101,5;2,8;9,0;0,003;0,009;;;;;;;;
01132;;4;;Fische, gefroren;0,12598;128,1;119,8;6,9;25,2;0,009;0,033;;;;;;;;
011320;005200;7;0039;Dorschfilet, tiefgekühlt;0,06878;123,6;112,2;10,2;23,8;0,007;0,017;;;;;;;;
011320;005300;7;0040;Fischstäbchen, tiefgekühlt;0,05720;130,0;125,7;3,4;26,7;0,002;0,016;;;;;;;;
01135;;4;;Fische u. Meeresfrüchte, getrocknet, geräuchert od. gesalzen;0,04789;99,5;98,1;1,4;8,9;0,001;0,004;;;;;;;;
011350;005500;7;0066;Räucherlachs;0,04789;99,5;98,1;1,4;8,9;0,001;0,004;;;;;;;;
01136;;4;;And. kons. od. verarb. Fische und Zub. auf Meeresfrüchtebasis;0,07846;107,1;107,3;-0,2;8,4;0,000;0,007;;;;;;;;
011360;005100;7;0033;Thunfisch;0,07846;107,1;107,3;-0,2;8,4;0,000;0,007;;;;;;;;
0114;;3;;Milch, Käse und Eier;1,54892;117,5;115,9;1,4;19,5;0,023;0,299;;;;;;;;
01141;;4;;Milch;0,24392;123,0;122,0;0,8;22,6;0,002;0,055;;;;;;;;
011410;005660;7;1043;Länger Frisch Milch;0,19058;122,3;121,5;0,7;22,5;0,001;0,043;;;;;;;;
011410;005661;7;1074;Frischmilch;0,05334;125,8;124,0;1,5;23,5;0,001;0,012;;;;;;;;
01143;;4;;Konservierte Milch;0,03777;117,5;113,6;3,4;15,8;0,001;0,006;;;;;;;;
011430;006100;7;0054;Kondensierte Milch;0,03777;117,5;113,6;3,4;15,8;0,001;0,006;;;;;;;;
01144;;4;;Joghurt;0,17435;116,6;114,3;2,0;17,2;0,004;0,030;;;;;;;;
011440;006200;7;0055;Fruchtjoghurt;0,08930;120,8;117,5;2,8;17,4;0,003;0,016;;;;;;;;
011440;006400;7;0057;Joghurt natur;0,08505;112,0;110,8;1,1;16,9;0,001;0,014;;;;;;;;
01145;;4;;Käse und Topfen;0,62703;116,3;114,4;1,7;18,8;0,012;0,117;;;;;;;;
011450;006000;7;0052;Speisetopfen;0,02482;115,2;115,3;-0,1;20,3;0,000;0,005;;;;;;;;
011450;006600;7;0059;Emmentaler;0,13071;118,9;117,2;1,5;22,6;0,002;0,029;;;;;;;;
011450;006700;7;0060;Gouda;0,16205;120,8;118,0;2,4;20,7;0,004;0,033;;;;;;;;
011450;006800;7;0061;Bergkäse;0,09886;108,4;106,4;1,9;11,4;0,002;0,012;;;;;;;;
011450;006900;7;0063;Camembert;0,07891;120,8;117,0;3,2;19,0;0,003;0,014;;;;;;;;
011450;007100;7;0064;Frischkäse;0,05926;121,2;121,2;0,0;18,9;0,000;0,011;;;;;;;;
011450;007200;7;0065;Mozzarella;0,07242;111,9;110,8;1,0;18,3;0,001;0,013;;;;;;;;
01146;;4;;Andere Milcherzeugnisse;0,25436;113,4;112,7;0,6;18,0;0,002;0,045;;;;;;;;
011460;005700;7;0049;Milchmixgetränk;0,11139;109,3;107,4;1,8;8,1;0,002;0,009;;;;;;;;
011460;005800;7;0050;Sauerrahm;0,06147;119,3;118,8;0,4;29,7;0,000;0,017;;;;;;;;
011460;005900;7;0051;Schlagobers;0,08150;118,0;118,5;-0,4;23,6;0,000;0,019;;;;;;;;
01147;;4;;Eier;0,21149;120,1;119,0;0,9;22,7;0,002;0,047;;;;;;;;
011470;006500;7;0147;Eier;0,21149;120,1;119,0;0,9;22,7;0,002;0,047;;;;;;;;
0115;;3;;Öle und Fette;0,34906;130,2;124,2;4,8;30,1;0,018;0,101;;;;;;;;
01151;;4;;Butter;0,16077;136,1;131,4;3,6;38,9;0,007;0,059;;;;;;;;
011510;007300;7;0053;Butter;0,16077;136,1;131,4;3,6;38,9;0,007;0,059;;;;;;;;
01152;;4;;Margarine und andere Speisefette pflanzlichen Ursprungs;0,03015;115,9;104,2;11,2;18,6;0,003;0,006;;;;;;;;
011520;007400;7;0067;Margarine;0,03015;115,9;104,2;11,2;18,6;0,003;0,006;;;;;;;;
01153;;4;;Olivenöl;0,05590;105,5;103,5;1,9;3,1;0,001;0,002;;;;;;;;
011530;007800;7;0071;Olivenöl;0,05590;105,5;103,5;1,9;3,1;0,001;0,002;;;;;;;;
01154;;4;;Andere Speiseöle;0,10224;140,2;131,7;6,5;35,6;0,007;0,035;;;;;;;;
011540;007600;7;0069;Sortenreines Pflanzenöl;0,10224;140,2;131,7;6,5;35,6;0,007;0,035;;;;;;;;
0116;;3;;Obst;0,98244;105,4;106,1;-0,7;3,1;-0,005;0,032;;;;;;;;
01161;;4;;Obst, frisch oder gekühlt;0,78123;107,4;108,5;-1,0;3,9;-0,006;0,031;;;;;;;;
011610;008200;7;0149;Mandarinen;0,04416;100,0;100,7;-0,7;-3,8;0,000;-0,001;;;;;;;;
011610;008400;7;0150;Erdbeeren;0,06512;97,3;99,8;-2,5;-26,6;-0,001;-0,025;;;;;;;;
011610;008440;7;1038;Beeren (ohne Erdbeeren);0,04608;102,6;103,1;-0,5;8,3;0,000;0,004;;;;;;;;
011610;008500;7;0151;Äpfel;0,11301;112,5;112,8;-0,3;4,6;0,000;0,005;;;;;;;;
011610;008600;7;0152;Birnen;0,02508;111,4;116,8;-4,6;13,1;-0,001;0,003;;;;;;;;
011610;008800;7;0154;Pfirsiche / Nektarinen;0,07365;84,4;82,0;2,9;-15,2;0,002;-0,007;;;;;;;;
011610;008900;7;0155;Trauben;0,08363;106,1;118,5;-10,5;11,8;-0,009;0,009;;;;;;;;
011610;009000;7;0156;Zucker-, Honigmelone;0,04963;93,4;105,0;-11,0;19,1;-0,005;0,006;;;;;;;;
011610;009200;7;0157;Bananen;0,12620;118,4;118,0;0,3;17,1;0,001;0,022;;;;;;;;
011610;009300;7;0158;Kiwi;0,01992;126,6;123,6;2,4;6,4;0,000;0,001;;;;;;;;
011610;009400;7;0160;Orangen;0,05560;120,3;109,4;10,0;3,4;0,006;0,004;;;;;;;;
011610;009500;7;0161;Zitronen;0,05412;103,5;103,0;0,5;6,4;0,000;0,006;;;;;;;;
011610;010490;7;1075;Avocado;0,02503;95,2;90,6;5,1;3,3;0,001;0,001;;;;;;;;
01163;;4;;Trockenobst und Nüsse;0,20121;97,4;96,8;0,6;0,5;0,001;0,001;;;;;;;;
011630;007900;7;0084;Nuss-, Trockenfruchtmischung;0,14247;100,1;99,5;0,6;1,7;0,001;0,003;;;;;;;;
011630;008000;7;0092;Erdnüsse geröstet / gesalzen;0,02322;101,8;100,3;1,5;3,5;0,000;0,001;;;;;;;;
011630;008100;7;0117;Rosinen;0,03552;92,3;92,2;0,1;-6,8;0,000;-0,002;;;;;;;;
0117;;3;;Gemüse;1,24535;117,1;116,7;0,3;12,1;0,005;0,151;;;;;;;;
01171;;4;;Gemüse (ohne Kartoffel u.a. Knollengew.), frisch oder gekühlt;0,74214;119,8;120,4;-0,5;12,4;-0,003;0,093;;;;;;;;
011710;010500;7;0165;Champignons;0,04231;116,2;111,3;4,4;17,3;0,002;0,008;;;;;;;;
011710;010600;7;0167;Gurken;0,05849;110,8;114,9;-3,6;11,7;-0,002;0,007;;;;;;;;
011710;010700;7;0168;Karfiol;0,06173;114,9;114,3;0,5;9,8;0,000;0,006;;;;;;;;
011710;010800;7;0169;Karotten;0,05910;111,8;114,1;-2,0;6,7;-0,001;0,004;;;;;;;;
011710;010900;7;0170;Grüner Blattsalat;0,10052;116,7;116,1;0,5;13,5;0,000;0,013;;;;;;;;
011710;011000;7;0171;Paprika;0,09021;140,9;134,8;4,5;20,6;0,005;0,019;;;;;;;;
011710;011220;7;1039;Verpackter Salat;0,05801;110,0;108,8;1,1;7,9;0,001;0,005;;;;;;;;
011710;011400;7;0175;Tomaten;0,19487;120,0;122,9;-2,4;12,3;-0,005;0,024;;;;;;;;
011710;011700;7;0176;Zwiebeln;0,07690;122,9;128,2;-4,1;9,6;-0,003;0,008;;;;;;;;
01172;;4;;Gemüse (ohne Kartoffel u.a. Knollengew.), tiefgefroren;0,07133;115,7;111,6;3,7;12,1;0,003;0,009;;;;;;;;
011720;009900;7;0036;Mischgemüse, tiefgekühlt;0,04619;114,0;110,3;3,4;9,5;0,002;0,005;;;;;;;;
011720;010000;7;0038;Spinat, tiefgekühlt;0,02514;119,3;114,4;4,3;17,1;0,001;0,004;;;;;;;;
01173;;4;;Trockengemüse, and. kons. und verarb. Gemüse;0,17773;116,1;114,7;1,2;10,5;0,002;0,019;;;;;;;;
011730;009700;7;0034;Delikatessgurken;0,17773;116,1;114,7;1,2;10,5;0,002;0,019;;;;;;;;
01174;;4;;Kartoffeln;0,17019;108,9;107,9;0,9;11,7;0,002;0,020;;;;;;;;
011740;010100;7;0041;Pommes frites, tiefgekühlt;0,04077;110,8;109,1;1,6;12,8;0,001;0,006;;;;;;;;
011740;011800;7;0183;Kartoffeln;0,12942;107,8;107,1;0,7;11,1;0,001;0,014;;;;;;;;
01175;;4;;Kartoffelchips;0,08396;115,1;113,5;1,4;12,2;0,001;0,010;;;;;;;;
011750;010200;7;0090;Kartoffelchips;0,08396;115,1;113,5;1,4;12,2;0,001;0,010;;;;;;;;
0118;;3;;Zucker, Marmelade, Honig, Schokolade und Süßwaren;0,77493;104,9;103,5;1,4;5,4;0,011;0,042;;;;;;;;
01181;;4;;Zucker;0,05255;101,7;100,2;1,5;1,9;0,001;0,001;;;;;;;;
011810;013200;7;0104;Kristallzucker;0,05255;101,7;100,2;1,5;1,9;0,001;0,001;;;;;;;;
01182;;4;;Marmeladen, Konfitüren und Honig;0,08781;104,6;103,5;1,1;4,5;0,001;0,004;;;;;;;;
011820;012300;7;0032;Pfirsichkonserve;0,03076;108,1;106,2;1,8;10,1;0,001;0,003;;;;;;;;
011820;013000;7;0101;Marmelade / Konfitüre;0,03398;101,7;100,9;0,8;1,4;0,000;0,000;;;;;;;;
011820;013100;7;0102;Bienenhonig;0,02307;105,1;104,3;0,8;2,9;0,000;0,001;;;;;;;;
01183;;4;;Schokolade;0,29075;107,6;106,4;1,1;5,6;0,003;0,016;;;;;;;;
011830;012500;7;0093;Vollmilchschokolade;0,11511;104,6;103,7;0,9;3,7;0,001;0,004;;;;;;;;
011830;012550;7;1040;Bonbonniere/ Pralinen;0,14206;110,5;109,5;0,9;7,7;0,001;0,011;;;;;;;;
011830;012600;7;0094;Schokoriegel;0,03358;102,8;100,2;2,6;3,5;0,001;0,001;;;;;;;;
01184;;4;;Süßwaren;0,21089;102,4;100,8;1,6;4,9;0,003;0,011;;;;;;;;
011840;012700;7;0095;Kaugummi;0,09281;102,8;102,5;0,3;2,4;0,000;0,002;;;;;;;;
011840;012800;7;0096;Fruchtbonbons, -gummi;0,11808;101,7;99,2;2,5;6,7;0,003;0,008;;;;;;;;
01185;;4;;Speiseeis und Eiscreme;0,13293;106,6;104,2;2,3;8,4;0,003;0,010;;;;;;;;
011850;012200;7;0025;Speiseeis, Familienpackung;0,13293;106,6;104,2;2,3;8,4;0,003;0,010;;;;;;;;
0119;;3;;Nahrungsmittel, a.n.g.;0,50129;108,3;107,4;0,8;8,4;0,005;0,043;;;;;;;;
01191;;4;;Saucen, Dressings;0,15360;111,4;110,6;0,7;11,7;0,002;0,018;;;;;;;;
011910;013900;7;0115;Senf;0,04650;118,3;118,3;0,0;20,5;0,000;0,009;;;;;;;;
011910;014000;7;0116;Tomatenketchup;0,05699;113,7;112,6;1,0;12,2;0,001;0,007;;;;;;;;
