;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;"Alle Informationen der bis Dezember 2021 verwendeten Methoden und Imputationen finden sich auf der Hauptseite des (H)VPI unter ""Dokumentationen""/ ""weiterführende Dokumentationen"". ";;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
DIREKTION VOLKSWIRTSCHAFT - PREISSTATISTIK;;;;;;;;;;;;;;;;;;;
Verbraucherpreisindex - Basis 2020;;;;;https://www.statistik.at/statistiken/volkswirtschaft-und-oeffentliche-finanzen/preise-und-preisindizes/verbraucherpreisindex-vpi/hvpi;;;;;;;;;;;;;;
Indexstände, Veränderungsraten und Einfluss-Ergebnisse nach COICOP-Klassifikation;;;;;;;;;;;;;;;;;;;
sowie für ausgewählte Waren und Dienstleistungen;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
COICOP 1)-Aggregat;Warencode neu;Aggregats-ebene;Warencode alt;VPI-Positionen;Gewicht für 2022;Indexstand im…;;%-Veränderung gegenüber …;;Einfluss 4) auf Veränderung zu…;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;August 2);Juli 3);Juli;August;Juli;August;;;;;;;;
;;;;;;2022;2022;2022;2021;2022;2021;;;;;;;;
;;;;;;;;;;;;;;;;;;;
01223;;4;;Frucht- und Gemüsesäfte;0,19889;110,4;109,1;1,2;8,6;0,002;0,017;;;;;;;;
012230;015200;7;0139;Orangensaft;0,11260;110,1;108,9;1,1;8,5;0,001;0,010;;;;;;;;
012230;015300;7;0140;Apfelsaft;0,08629;110,6;109,3;1,2;8,4;0,001;0,007;;;;;;;;
02;;1;;ALKOHOLISCHE GETRÄNKE UND TABAK;3,41268;107,3;107,3;0,0;4,1;0,001;0,142;;;;;;;;
021;;2;;Alkoholische Getränke;1,55445;106,2;106,4;-0,2;4,6;0,000;0,074;;;;;;;;
0211;;3;;Spirituosen;0,23703;101,2;100,8;0,4;-1,7;0,002;-0,004;;;;;;;;
02111;;4;;Spirituosen und Liköre;0,23703;101,2;100,8;0,4;-1,7;0,002;-0,004;;;;;;;;
021110;015400;7;0130;Rum;0,06706;100,2;101,0;-0,8;0,2;0,000;0,000;;;;;;;;
021110;015500;7;0131;Wodka;0,10256;105,0;102,2;2,7;1,3;0,003;0,001;;;;;;;;
021110;015550;7;1045;Likör;0,06741;94,7;96,7;-2,1;-7,4;-0,001;-0,005;;;;;;;;
0212;;3;;Wein;0,62526;106,8;104,0;2,7;8,4;0,017;0,054;;;;;;;;
02121;;4;;Wein aus Trauben;0,62526;106,8;104,0;2,7;8,4;0,017;0,054;;;;;;;;
021210;015700;7;0123;Rotwein;0,18618;111,2;107,2;3,7;10,4;0,007;0,020;;;;;;;;
021210;015800;7;0125;Weißwein;0,31147;107,9;105,0;2,8;7,3;0,008;0,023;;;;;;;;
021210;016000;7;0127;Sekt;0,12761;97,0;95,7;1,4;7,8;0,002;0,012;;;;;;;;
0213;;3;;Bier;0,69216;107,4;110,5;-2,8;3,4;-0,019;0,024;;;;;;;;
02131;;4;;Lagerbier;0,65919;107,6;110,8;-2,9;3,8;-0,019;0,026;;;;;;;;
021310;016100;7;0119;Dosenbier;0,27028;106,8;110,2;-3,1;4,9;-0,008;0,014;;;;;;;;
021310;016250;7;1046;Spezialbier;0,04085;106,8;111,8;-4,5;2,3;-0,002;0,001;;;;;;;;
021310;016300;7;0120;Flaschenbier;0,34806;108,0;111,0;-2,7;3,1;-0,009;0,011;;;;;;;;
02134;;4;;Getränke auf Bierbasis;0,03297;99,9;101,2;-1,3;-4,8;0,000;-0,002;;;;;;;;
021340;016400;7;0121;Radler;0,03297;99,9;101,2;-1,3;-4,8;0,000;-0,002;;;;;;;;
022;;2;;Tabak;1,85823;107,8;107,7;0,1;3,6;0,001;0,068;;;;;;;;
0220;;3;;Tabakwaren;1,85823;107,8;107,7;0,1;3,6;0,001;0,068;;;;;;;;
02201;;4;;Zigaretten;1,76897;107,5;107,4;0,1;3,4;0,001;0,062;;;;;;;;
022010;016500;7;0628;Zigaretten;1,76897;107,5;107,4;0,1;3,4;0,001;0,062;;;;;;;;
02203;;4;;Andere Tabakerzeugnisse;0,08926;112,4;112,4;0,0;6,2;0,000;0,006;;;;;;;;
022030;022030;7;1100;Tabak;0,08926;112,4;112,4;0,0;6,2;0,000;0,006;;;;;;;;
03;;1;;BEKLEIDUNG UND SCHUHE;4,61681;90,0;93,4;-3,6;1,0;-0,137;0,035;;;;;;;;
031;;2;;Bekleidung;3,66928;89,1;92,3;-3,5;0,3;-0,103;0,007;;;;;;;;
0311;;3;;Bekleidungsstoffe;0,01176;106,9;106,9;0,0;25,2;0,000;0,003;;;;;;;;
03110;;4;;Bekleidungsstoffe;0,01176;106,9;106,9;0,0;25,2;0,000;0,003;;;;;;;;
031100;026900;7;0759;Stoff;0,01176;106,9;106,9;0,0;25,2;0,000;0,003;;;;;;;;
0312;;3;;Bekleidungsartikel;3,40511;88,0;91,6;-3,9;-0,1;-0,105;-0,009;;;;;;;;
03121;;4;;Bekleidung für Männer;1,10733;90,1;92,5;-2,6;1,0;-0,022;0,010;;;;;;;;
031210;029100;7;0219;Herren-Snowboardanzug;0,06308;92,1;95,8;-3,9;0,5;-0,002;0,000;;;;;;;;
031210;029200;7;0265;Herren-Jeans;0,13300;96,4;96,6;-0,2;5,6;0,000;0,007;;;;;;;;
031210;029500;7;0287;Herren-Anzug;0,04846;99,2;103,9;-4,5;4,6;-0,002;0,003;;;;;;;;
031210;029600;7;0288;Herren-Hose;0,12062;92,8;96,1;-3,4;-0,6;-0,003;0,000;;;;;;;;
031210;029700;7;0289;Herren-Sakko;0,03663;92,6;96,5;-4,0;3,6;-0,001;0,001;;;;;;;;
031210;029800;7;0290;Herren-Jacke;0,18404;79,2;80,4;-1,5;-1,9;-0,002;-0,005;;;;;;;;
031210;029900;7;0291;Herren-Shirt;0,12049;82,6;86,5;-4,5;-5,7;-0,004;-0,006;;;;;;;;
031210;030000;7;0292;Herren-Hemd;0,11394;88,0;96,4;-8,7;0,9;-0,008;0,001;;;;;;;;
031210;030200;7;0295;Herren-Socken;0,04348;100,0;101,1;-1,1;0,0;0,000;0,000;;;;;;;;
031210;030300;7;0296;Herren-Unterhose;0,05774;102,2;99,1;3,1;5,0;0,002;0,003;;;;;;;;
031210;030400;7;0307;Herren-Pullover / Weste;0,10360;90,9;88,9;2,2;5,9;0,002;0,005;;;;;;;;
031210;030500;7;0335;Herren-Sportbekleidung;0,08225;86,6;91,2;-5,0;2,1;-0,004;0,001;;;;;;;;
03122;;4;;Bekleidung für Frauen;1,85349;87,1;91,0;-4,3;0,0;-0,062;-0,003;;;;;;;;
031220;027100;7;0216;Damen-Sportbekleidung;0,09014;86,8;91,7;-5,3;-4,1;-0,004;-0,003;;;;;;;;
031220;027200;7;0298;Damen-Kleid;0,10518;81,5;85,1;-4,2;5,7;-0,003;0,004;;;;;;;;
031220;027400;7;0299;Damen-Hose;0,25503;87,0;90,3;-3,7;-1,0;-0,007;-0,002;;;;;;;;
031220;027500;7;0300;Damen-Mantel;0,15480;92,6;96,4;-3,9;4,3;-0,005;0,004;;;;;;;;
031220;027700;7;0302;Damen-Rock;0,05904;83,0;86,3;-3,8;-2,6;-0,002;-0,001;;;;;;;;
031220;027900;7;0303;Damen-Jacke;0,15363;82,5;84,6;-2,5;0,2;-0,003;-0,001;;;;;;;;
031220;028000;7;0304;Damen-Shirt;0,25918;84,1;91,3;-7,9;-0,8;-0,016;-0,003;;;;;;;;
031220;028100;7;0305;Damen-Pullover;0,13470;80,7;81,7;-1,2;4,4;-0,001;0,003;;;;;;;;
031220;028200;7;0306;Damen-Bluse;0,09388;83,0;89,2;-7,0;-2,4;-0,005;-0,002;;;;;;;;
031220;028300;7;0308;Damen-Blazer;0,04525;89,0;90,6;-1,8;5,1;-0,001;0,002;;;;;;;;
031220;028400;7;0309;Büstenhalter;0,08821;100,2;103,3;-3,0;-0,3;-0,002;0,000;;;;;;;;
031220;028500;7;0310;Damen-Strumpfhose;0,01897;94,7;95,8;-1,1;-3,6;0,000;-0,001;;;;;;;;
031220;028600;7;0311;Damen-Nachtwäsche;0,07040;85,1;91,1;-6,6;5,5;-0,004;0,002;;;;;;;;
031220;028700;7;0312;Damen-Unterhose;0,07386;96,3;96,1;0,2;-0,5;0,000;0,000;;;;;;;;
031220;028800;7;0314;Damen-Jeans;0,15113;90,2;93,8;-3,8;-4,9;-0,005;-0,006;;;;;;;;
031220;028900;7;0336;Damen-Schianzug;0,07623;93,9;97,7;-3,9;3,4;-0,002;0,001;;;;;;;;
031220;029000;7;0383;Damen-Bademode;0,02386;99,7;109,2;-8,7;3,3;-0,002;0,001;;;;;;;;
03123;;4;;Bekleidung für Kleinkinder (0 bis 2 J.) und Kinder (3 bis 13 J.);0,44429;86,3;91,5;-5,7;-3,6;-0,021;-0,016;;;;;;;;
031230;030801;7;1101;Unterhose für Buben;0,06160;97,8;95,7;2,2;1,7;0,001;0,001;;;;;;;;
031230;030802;7;1102;Jeans für Buben;0,10417;86,3;87,0;-0,8;-1,6;-0,001;-0,001;;;;;;;;
031230;030803;7;1103;T-Shirt für Mädchen;0,11837;72,4;82,9;-12,7;-4,5;-0,012;-0,005;;;;;;;;
031230;030804;7;1104;Jacke für Mädchen;0,08411;76,9;80,0;-3,9;;-0,002;;;;;;;;;
031230;031900;7;0321;Baby-Set;0,07604;85,1;95,1;-10,5;-3,4;-0,007;-0,002;;;;;;;;
0313;;3;;Sonstige Bekleidungsartikel und Bekleidungszubehör;0,20616;101,6;100,6;1,0;5,1;0,002;0,010;;;;;;;;
03131;;4;;Andere Bekleidungsartikel;0,17612;100,2;100,0;0,2;5,4;0,001;0,009;;;;;;;;
031310;032000;7;0294;Krawatte;0,01847;103,0;103,5;-0,5;11,2;0,000;0,002;;;;;;;;
031310;032100;7;0319;Gürtel mit Schnalle;0,04514;104,3;104,3;0,0;4,6;0,000;0,002;;;;;;;;
031310;032110;7;1047;Schal / Tuch;0,07343;97,7;95,1;2,7;6,7;0,002;0,004;;;;;;;;
031310;032200;7;0412;Kopfbedeckung;0,03908;98,2;101,6;-3,3;1,9;-0,001;0,001;;;;;;;;
03132;;4;;Anderes Bekleidungszubehör;0,03004;109,4;103,9;5,3;4,2;0,001;0,001;;;;;;;;
031320;032300;7;0760;Strickwolle;0,03004;109,4;103,9;5,3;4,2;0,001;0,001;;;;;;;;
0314;;3;;Reinigung und Reparatur von Bekleidung;0,04625;107,7;107,6;0,1;6,3;0,000;0,003;;;;;;;;
03141;;4;;Chemische Reinigung und Waschen von Bekleidung;0,02635;109,3;109,0;0,3;7,2;0,000;0,002;;;;;;;;
031410;032800;7;0375;Waschen und Bügeln / Hemden;0,00647;107,1;107,0;0,1;7,1;0,000;0,000;;;;;;;;
031410;032900;7;0376;Chemische Reinigung;0,01988;110,0;109,7;0,3;7,1;0,000;0,001;;;;;;;;
03142;;4;;Reparaturen und Miete von Bekleidung;0,01990;105,7;105,6;0,1;5,3;0,000;0,001;;;;;;;;
031420;032600;7;0297;Änderungsschneiderei;0,01990;105,7;105,6;0,1;5,3;0,000;0,001;;;;;;;;
032;;2;;Schuhe einschließlich Reparatur;0,94753;94,4;98,3;-4,0;3,6;-0,034;0,028;;;;;;;;
0321;;3;;Schuhe;0,94042;94,3;98,3;-4,1;3,6;-0,034;0,028;;;;;;;;
03211;;4;;Fußbekleidung für Männer;0,30824;95,6;100,0;-4,4;1,6;-0,013;0,004;;;;;;;;
032110;033200;7;0226;Herren-Sportschuhe;0,08338;98,2;103,1;-4,8;1,6;-0,004;0,001;;;;;;;;
032110;033201;7;1065;Herren-Pantoffel;0,01904;107,4;106,4;0,9;5,7;0,000;0,001;;;;;;;;
032110;033330;7;1048;Herren-Freizeitschuhe;0,17189;92,9;97,9;-5,1;1,1;-0,008;0,001;;;;;;;;
032110;033400;7;0326;Herren-Halbschuhe;0,03393;94,8;97,5;-2,8;1,6;-0,001;0,000;;;;;;;;
03212;;4;;Fußbekleidung für Frauen;0,47153;92,0;96,6;-4,8;3,0;-0,019;0,011;;;;;;;;
032120;033100;7;0222;Damen-Stiefeletten;0,13726;89,2;93,0;-4,1;0,8;-0,005;0,000;;;;;;;;
032120;033300;7;0325;Damen-Freizeitschuhe;0,20660;92,3;98,1;-5,9;4,3;-0,010;0,008;;;;;;;;
032120;033600;7;0328;Damen-Halbschuhe;0,06566;90,5;94,8;-4,5;6,1;-0,002;0,004;;;;;;;;
032120;034100;7;0334;Damen-Sportschuhe;0,06201;99,0;102,4;-3,3;0,2;-0,002;0,000;;;;;;;;
03213;;4;;Fußbekleidung für Kleinkinder und Kinder;0,16065;99,1;100,3;-1,2;9,9;-0,002;0,013;;;;;;;;
032130;033900;7;0331;Kinder-Halbschuhe;0,07429;103,6;104,4;-0,8;15,8;-0,001;0,009;;;;;;;;
032130;034000;7;0332;Kinder-Sportfreizeitschuhe;0,08636;97,4;98,8;-1,4;5,3;-0,001;0,004;;;;;;;;
0322;;3;;Reparatur von Schuhen;0,00711;104,0;103,3;0,7;2,5;0,000;0,000;;;;;;;;
03220;;4;;Reparaturen und Miete von Schuhen;0,00711;104,0;103,3;0,7;2,5;0,000;0,000;;;;;;;;
032200;034200;7;0340;Absatzreparatur;0,00711;104,0;103,3;0,7;2,5;0,000;0,000;;;;;;;;
04;;1;;WOHNUNG, WASSER, ENERGIE;18,92094;118,2;116,3;1,6;13,8;0,327;2,625;;;;;;;;
041;;2;;Gezahlte Wohnungsmieten;5,36878;103,2;103,0;0,2;1,8;0,010;0,103;;;;;;;;
0411;;3;;Wohnungsmieten;5,36878;103,2;103,0;0,2;1,8;0,010;0,103;;;;;;;;
04110;;4;;Tatsächliche Mietzahlungen für Hauptwohnungen;5,36878;103,2;103,0;0,2;1,8;0,010;0,103;;;;;;;;
041100;034300;7;0556;Wohnungsmiete, alle Kategorien;4,87574;102,7;102,4;0,3;1,5;0,015;0,077;;;;;;;;
041100;034301;7;1556;Neuvermietungen;0,49304;105,2;106,3;-1,0;5,2;-0,005;0,026;;;;;;;;
043;;2;;Instandhaltung und Reparatur der Wohnung;5,79552;122,5;119,2;2,8;15,6;0,166;0,911;;;;;;;;
0431;;3;;Material für die Instandhaltung und Reparatur der Wohnung;3,93836;125,4;121,9;2,9;17,9;0,122;0,711;;;;;;;;
04310;;4;;Erzg. f. d. regelm. Instandhaltung und Reparatur der Wohnung;3,93836;125,4;121,9;2,9;17,9;0,122;0,711;;;;;;;;
043100;034900;7;0248;Spülbecken;0,17309;110,9;109,6;1,2;9,4;0,002;0,016;;;;;;;;
043100;035000;7;0254;Fertigparkett;0,07677;114,4;112,0;2,1;11,4;0,002;0,009;;;;;;;;
043100;035100;7;0257;Laminatboden;0,07763;109,8;111,5;-1,5;8,5;-0,001;0,007;;;;;;;;
043100;035300;7;0258;Waschtischarmatur;0,15201;104,7;105,3;-0,6;3,5;-0,001;0,006;;;;;;;;
043100;035400;7;0709;Ziegelstein;0,49307;127,5;117,0;9,0;25,9;0,048;0,129;;;;;;;;
043100;035500;7;0711;Hohlblocksteine;0,16293;129,5;123,4;4,9;16,1;0,008;0,027;;;;;;;;
043100;035600;7;0712;Zement;0,42792;113,3;108,6;4,3;14,9;0,019;0,064;;;;;;;;
043100;035700;7;0713;PVC-Kanalrohre;0,05848;167,3;156,2;7,1;50,7;0,005;0,028;;;;;;;;
043100;035800;7;0714;Gasbetonsteine;0,13762;117,3;112,0;4,7;18,5;0,007;0,026;;;;;;;;
043100;035900;7;0715;Betondachsteine;0,16135;120,8;118,8;1,7;13,5;0,003;0,022;;;;;;;;
043100;036000;7;0716;Hydratkalk;0,14862;117,8;115,6;1,9;13,7;0,003;0,021;;;;;;;;
043100;036100;7;0717;Gebundene Faserdämmstoffe;0,36696;146,0;136,2;7,2;38,5;0,031;0,138;;;;;;;;
043100;036200;7;0718;Gipskartonplatte;0,25677;109,8;104,8;4,8;12,3;0,012;0,033;;;;;;;;
043100;036300;7;0719;Isolierglaskippfenster;0,47998;121,3;121,3;0,0;18,3;0,000;0,084;;;;;;;;
043100;036400;7;0726;Lack;0,10540;107,7;107,7;0,0;4,1;0,000;0,004;;;;;;;;
043100;036500;7;0727;Dispersionsfarbe;0,13099;114,3;114,3;0,0;12,4;0,000;0,016;;;;;;;;
043100;036600;7;0730;Fliesen;0,16811;119,6;119,6;0,0;18,4;0,000;0,032;;;;;;;;
043100;036700;7;0731;Profilholz;0,36066;176,3;183,9;-4,1;12,6;-0,016;0,047;;;;;;;;
0432;;3;;Dienstleistung für die Instandhaltung und Reparatur der Wohnung;1,85716;116,3;113,6;2,4;10,7;0,044;0,200;;;;;;;;
04321;;4;;Dienstleistungen von Installateuren;0,21284;109,5;108,7;0,7;5,9;0,002;0,013;;;;;;;;
043210;036800;7;0220;Installateur (Gas / Wasser);0,21284;109,5;108,7;0,7;5,9;0,002;0,013;;;;;;;;
04322;;4;;Dienstleistungen von Elektrikern;0,13433;107,8;107,8;0,0;5,0;0,000;0,007;;;;;;;;
043220;037000;7;0223;Elektroinstallateur;0,13433;107,8;107,8;0,0;5,0;0,000;0,007;;;;;;;;
04323;;4;;Instandhaltungsleistungen für Heizsysteme;0,07841;109,5;106,2;3,1;6,5;0,002;0,005;;;;;;;;
043230;036900;7;0221;Jahreswartung, Gasheizung;0,07841;109,5;106,2;3,1;6,5;0,002;0,005;;;;;;;;
04324;;4;;Dienstleistungen von Malern;0,12995;109,6;109,5;0,1;5,7;0,000;0,008;;;;;;;;
043240;037100;7;0225;Malerarbeiten;0,12995;109,6;109,5;0,1;5,7;0,000;0,008;;;;;;;;
04325;;4;;Dienstleistungen von Zimmerern;0,29698;134,4;129,5;3,8;21,4;0,012;0,063;;;;;;;;
043250;037200;7;0255;Parkett verlegen;0,11076;113,6;113,6;0,0;9,5;0,000;0,011;;;;;;;;
043250;037400;7;0721;Zimmermannsarbeiten;0,18622;148,1;139,9;5,9;28,6;0,012;0,052;;;;;;;;
04329;;4;;And. Dienstleistungen f. Instandhaltung u. Reparatur v. Whg.;1,00465;115,3;112,1;2,9;10,3;0,028;0,105;;;;;;;;
043290;037300;7;0720;Maurerarbeiten, KV-Lohn;0,50189;107,3;107,3;0,0;4,2;0,000;0,022;;;;;;;;
043290;037500;7;0722;Zentralheizung;0,20268;126,1;118,9;6,1;16,3;0,012;0,033;;;;;;;;
043290;037600;7;0723;Fenstereinbau;0,18364;125,4;118,2;6,1;19,4;0,011;0,035;;;;;;;;
043290;037700;7;0724;Fliesenlegen;0,11644;117,2;112,1;4,5;12,4;0,005;0,015;;;;;;;;
044;;2;;Wasserversorgung und sonstige Dienstleistungen (Wohnung);3,70914;105,1;104,5;0,6;4,9;0,019;0,179;;;;;;;;
0441;;3;;Wasserversorgung;0,18530;107,3;107,2;0,1;4,9;0,000;0,009;;;;;;;;
04410;;4;;Wasserversorgung;0,18530;107,3;107,2;0,1;4,9;0,000;0,009;;;;;;;;
044100;037800;7;0498;Wassergebühr, lfd. Kosten;0,15235;107,2;107,2;0,0;4,7;0,000;0,007;;;;;;;;
044100;037900;7;0499;Wassergebühr, Fixkosten;0,03295;107,4;107,3;0,1;5,5;0,000;0,002;;;;;;;;
0442;;3;;Müllabfuhr;0,17634;104,0;104,0;0,0;3,4;0,000;0,006;;;;;;;;
04420;;4;;Müllabfuhr;0,17634;104,0;104,0;0,0;3,4;0,000;0,006;;;;;;;;
044200;038000;7;0500;Müllabfuhr, Einfamilienhaus;0,17634;104,0;104,0;0,0;3,4;0,000;0,006;;;;;;;;
0443;;3;;Abwasserbeseitigung;0,39198;104,7;104,1;0,6;2,9;0,002;0,012;;;;;;;;
04430;;4;;Abwasserentsorgung;0,39198;104,7;104,1;0,6;2,9;0,002;0,012;;;;;;;;
044300;038100;7;0501;Kanalgebühr, Einfamilienhaus;0,39198;104,7;104,1;0,6;2,9;0,002;0,012;;;;;;;;
0444;;3;;Sonstige Dienstleistungen betr. Wohnung, a.n.g.;2,95552;105,0;104,4;0,6;5,1;0,017;0,152;;;;;;;;
04441;;4;;Instandhaltungsgebühren in Mehrfamilienhäusern;2,85378;105,0;104,4;0,6;5,2;0,017;0,148;;;;;;;;
044410;038300;7;0557;Betriebskosten, Mietwohnung;2,12126;106,2;105,7;0,5;6,5;0,010;0,137;;;;;;;;
044410;038400;7;0559;Betriebskosten, Eigentumswohnung;0,73252;101,6;100,7;0,9;1,4;0,007;0,011;;;;;;;;
04449;;4;;Andere Dienstleistungen im Zusammenhang m. d. Wohnung;0,10174;105,4;105,4;0,0;4,3;0,000;0,004;;;;;;;;
044490;038200;7;0502;Rauchfangkehrer, Einfamilienhaus;0,10174;105,4;105,4;0,0;4,3;0,000;0,004;;;;;;;;
045;;2;;Elektrizität, Gas und andere Brennstoffe;4,04750;147,5;143,4;2,9;36,7;0,132;1,431;;;;;;;;
0451;;3;;Elektrizität;2,04766;120,2;116,1;3,5;11,9;0,070;0,238;;;;;;;;
04510;;4;;Strom;2,04766;120,2;116,1;3,5;11,9;0,070;0,238;;;;;;;;
045100;038600;7;0566;Elektrischer Strom, Grund-, Zählergebühr;0,38922;81,5;81,5;0,0;-20,9;0,000;-0,080;;;;;;;;
045100;038700;7;0567;Elektrischer Strom, Arbeitspreis / Tag;1,55191;129,1;124,0;4,1;18,7;0,065;0,285;;;;;;;;
045100;038800;7;0564;Elektrischer Strom, Arbeitspreis / Nacht;0,10653;134,1;128,8;4,1;30,6;0,005;0,033;;;;;;;;
0452;;3;;Gas;0,65747;183,7;179,7;2,2;71,0;0,019;0,414;;;;;;;;
04521;;4;;Erdgas;0,65747;183,7;179,7;2,2;71,0;0,019;0,414;;;;;;;;
045210;038900;7;0568;Gas, Grund-, Zählergebühr;0,04889;103,0;103,0;0,0;-3,0;0,000;-0,002;;;;;;;;
045210;039000;7;0569;Gas, Arbeitspreis;0,60858;191,6;187,3;2,3;78,2;0,019;0,415;;;;;;;;
0453;;3;;Flüssige Brennstoffe;0,39485;251,2;256,0;-1,9;106,6;-0,013;0,407;;;;;;;;
04530;;4;;Flüssige Brennstoffe (ohne Kraftstoffe);0,39485;251,2;256,0;-1,9;106,6;-0,013;0,407;;;;;;;;
045300;039100;7;0227;Heizöl extra leicht, Großabnahme;0,39485;251,2;256,0;-1,9;106,6;-0,013;0,407;;;;;;;;
0454;;3;;Feste Brennstoffe;0,38526;174,3;160,2;8,8;72,4;0,046;0,263;;;;;;;;
04549;;4;;Andere feste Brennstoffe;0,38526;174,3;160,2;8,8;72,4;0,046;0,263;;;;;;;;
045490;039400;7;0224;Holzpellets, Großabnahme;0,14751;197,3;171,9;14,8;99,9;0,032;0,135;;;;;;;;
045490;039900;7;0231;Brennholz;0,23775;159,7;152,8;4,5;56,1;0,014;0,128;;;;;;;;
0455;;3;;Wärmeenergie;0,56226;122,4;120,5;1,6;19,0;0,010;0,109;;;;;;;;
04550;;4;;Fernwärme;0,56226;122,4;120,5;1,6;19,0;0,010;0,109;;;;;;;;
045500;040000;7;0570;Fernheizung, Grundgebühr;0,10212;105,2;103,7;1,4;4,8;0,001;0,005;;;;;;;;
045500;040100;7;0571;Fernheizung, Arbeitspreis;0,46014;126,2;124,1;1,7;22,2;0,009;0,104;;;;;;;;
05;;1;;HAUSRAT UND LFD. INSTANDHALTUNG DES HAUSES;6,49376;110,9;110,1;0,7;8,6;0,045;0,576;;;;;;;;
051;;2;;Einrichtungsgegenstände und Bodenbeläge;2,94801;112,5;113,3;-0,7;9,9;-0,023;0,302;;;;;;;;
0511;;3;;Möbel und andere Einrichtungsgegenstände;2,88035;112,6;113,7;-1,0;9,9;-0,033;0,293;;;;;;;;
05111;;4;;Wohnmöbel;2,53091;112,2;113,0;-0,7;9,3;-0,022;0,244;;;;;;;;
051110;040200;7;0187;Arbeitsplatte / Küche;0,19477;115,8;116,5;-0,6;10,9;-0,001;0,022;;;;;;;;
051110;040300;7;0237;Hochschrank für Kühlschrank;0,04690;113,7;114,4;-0,6;12,4;0,000;0,006;;;;;;;;
051110;040400;7;0238;Vorratsschrank;0,08045;114,2;113,8;0,4;12,1;0,000;0,010;;;;;;;;
051110;040500;7;0239;Unterbau-Eckschrank;0,10756;113,3;112,8;0,4;9,0;0,000;0,010;;;;;;;;
051110;040600;7;0240;Küchenelement, Oberschrank;0,10741;115,7;115,6;0,1;12,0;0,000;0,013;;;;;;;;
051110;040700;7;0241;Küchenelement, Unterschrank;0,24067;112,5;113,4;-0,8;11,7;-0,002;0,029;;;;;;;;
051110;040800;7;0242;Sitzgarnitur;0,30457;109,3;109,7;-0,4;6,3;-0,001;0,021;;;;;;;;
051110;040900;7;0243;Schlafzimmermöbel;0,33719;113,6;113,9;-0,3;8,1;-0,001;0,029;;;;;;;;
051110;041000;7;0244;Essgarnitur;0,22242;107,7;111,0;-3,0;5,4;-0,007;0,013;;;;;;;;
051110;041100;7;0245;Wohnzimmerprogramm;0,26356;116,8;117,8;-0,8;11,7;-0,003;0,032;;;;;;;;
051110;041500;7;0249;Badezimmerblock;0,18380;116,7;116,5;0,2;18,0;0,000;0,035;;;;;;;;
051110;041600;7;0259;Vorzimmer;0,09118;105,3;107,6;-2,1;5,4;-0,002;0,005;;;;;;;;
051110;041700;7;0269;Kinderzimmer;0,15479;109,4;107,4;1,9;8,6;0,003;0,014;;;;;;;;
051110;041800;7;0284;Kommode, Anrichte;0,06744;107,8;108,7;-0,8;11,4;-0,001;0,008;;;;;;;;
051110;041900;7;0437;Schreibtisch;0,02641;108,3;108,2;0,1;2,8;0,000;0,001;;;;;;;;
051110;042300;7;0748;Matratze;0,10179;105,2;113,3;-7,1;-2,7;-0,007;-0,003;;;;;;;;
05112;;4;;Gartenmöbel;0,18367;107,9;114,3;-5,6;17,8;-0,011;0,030;;;;;;;;
051120;041400;7;0247;Gartenmöbel;0,18367;107,9;114,3;-5,6;17,8;-0,011;0,030;;;;;;;;
05113;;4;;Beleuchtungsausstattung;0,10456;126,1;124,7;1,1;10,9;0,001;0,012;;;;;;;;
051130;042000;7;0734;Luster, Hängelampe;0,03014;128,6;126,9;1,3;23,3;0,000;0,007;;;;;;;;
051130;042200;7;0735;Deckenbeleuchtung;0,07442;124,8;123,6;1,0;5,9;0,001;0,005;;;;;;;;
05119;;4;;Andere Möbel und Einrichtungsgegenstände;0,06121;118,8;119,7;-0,8;11,8;-0,001;0,007;;;;;;;;
051190;041300;7;0246;Vorzimmerspiegel;0,06121;118,8;119,7;-0,8;11,8;-0,001;0,007;;;;;;;;
0512;;3;;Teppiche und andere Bodenbeläge;0,06766;112,4;97,3;15,5;12,5;0,010;0,009;;;;;;;;
05121;;4;;Teppiche und Vorleger;0,06766;112,4;97,3;15,5;12,5;0,010;0,009;;;;;;;;
051210;042600;7;0252;Teppich;0,06766;112,4;97,3;15,5;12,5;0,010;0,009;;;;;;;;
052;;2;;Heimtextilien;0,37580;117,8;108,6;8,5;17,0;0,032;0,065;;;;;;;;
0520;;3;;Heimtextilien;0,37580;117,8;108,6;8,5;17,0;0,032;0,065;;;;;;;;
05201;;4;;Möbelstoffe und Gardinen;0,16177;135,5;118,7;14,2;29,0;0,024;0,048;;;;;;;;
052010;042800;7;0253;Gardinen, Store;0,16177;135,5;118,7;14,2;29,0;0,024;0,048;;;;;;;;
05202;;4;;Bettwäsche;0,15859;105,9;102,0;3,8;7,0;0,006;0,011;;;;;;;;
052020;042900;7;0260;Bettwäsche;0,12945;107,6;102,8;4,7;7,4;0,006;0,010;;;;;;;;
052020;043200;7;0263;Steppdecke;0,02914;104,5;104,9;-0,4;4,5;0,000;0,001;;;;;;;;
